vehicle-id,time,x-coordinate,y-coordinate,speed,category
4c0c4745067197be22182d262b44f48a,1493859164,521696.473915,55061.506951,6.6,0,
4c0c4745067197be22182d262b44f48a,1493859167,521680.892788,55051.685121,6.1,0,
4c0c4745067197be22182d262b44f48a,1493859170,521665.31169,55041.863291,6.2,0,
4c0c4745067197be22182d262b44f48a,1493859173,521648.617687,55030.255674,6.9,0,
4c0c4745067197be22182d262b44f48a,1493859176,521628.584926,55019.540951,7.2,0,
4c0c4745067197be22182d262b44f48a,1493859179,521606.326358,55007.933333,8.2,0,
4c0c4745067197be22182d262b44f48a,1493859182,521582.954924,54995.432822,8.7,0,
4c0c4745067197be22182d262b44f48a,1493859185,521556.244791,54977.57495,10.9,0,
4c0c4745067197be22182d262b44f48a,1493859188,521539.551,54966.860226,6.9,0,
4c0c4745067197be22182d262b44f48a,1493859191,521523.970159,54957.038396,5.8,0,
4c0c4745067197be22182d262b44f48a,1493859194,521511.728088,54949.002353,5.0,0,
4c0c4745067197be22182d262b44f48a,1493859197,521509.502259,54947.216566,0.0,0,
4c0c4745067197be22182d262b44f48a,1493859200,521509.502259,54947.216566,0.0,0,
4c0c4745067197be22182d262b44f48a,1493859203,521509.502259,54947.216566,0.0,0,
4c0c4745067197be22182d262b44f48a,1493859206,521509.502259,54947.216566,0.0,0,
4c0c4745067197be22182d262b44f48a,1493859209,521506.163517,54944.537885,0.0,0,
4c0c4745067197be22182d262b44f48a,1493859212,521492.80856,54936.501842,5.2,0,
4c0c4745067197be22182d262b44f48a,1493859215,521480.566534,54927.572906,5.2,0,
4c0c4745067197be22182d262b44f48a,1493859216,521459.421258,54913.286608,25.0,0,
4c0c4745067197be22182d262b44f48a,1493859217,521459.421258,54913.286608,0.0,0,
4c0c4745067197be22182d262b44f48a,1493859221,521437.16313,54901.678991,6.0,0,
4c0c4745067197be22182d262b44f48a,1493859223,521419.356668,54892.750054,10.2,0,
4c0c4745067197be22182d262b44f48a,1493859227,521399.324443,54885.606905,5.2,0,
4c0c4745067197be22182d262b44f48a,1493859230,521382.630959,54879.35665,5.8,0,
